,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
116,ajjampur,7,IN,1604337717,69,13.73,76.01,71.46,3.96
117,frunzivka,95,UA,1604337717,72,47.33,29.75,48.15,5.44
118,lolotique,20,SV,1604337718,66,13.55,-88.35,86.0,2.24
119,narsaq,75,GL,1604337718,53,60.92,-46.05,23.0,5.82
120,hofn,75,IS,1604337718,45,64.25,-15.21,42.8,11.41
121,sao joao da barra,75,BR,1604337718,53,-21.64,-41.05,75.2,11.41
122,surgana,60,IN,1604337718,53,20.57,73.62,71.37,4.05
123,kamogata,100,JP,1604337718,96,34.53,133.58,57.0,9.8
124,visby,90,SE,1604337718,93,57.64,18.3,59.0,27.51
125,benguela,75,AO,1604337548,83,-12.58,13.41,80.6,9.17
126,ribeira grande,40,PT,1604337718,59,38.52,-28.7,64.4,14.99
127,amapa,13,BR,1604337719,27,1.0,-52.0,103.06,2.55
128,girona,75,ES,1604337523,100,41.98,2.82,62.6,6.93
129,lasa,40,IT,1604337719,81,46.62,10.7,53.01,1.12
130,hualmay,88,PE,1604337719,62,-11.1,-77.61,68.4,8.05
131,gimli,77,CA,1604337719,76,50.63,-96.99,44.6,5.82
132,lebu,100,CL,1604337719,77,-37.62,-73.65,57.25,10.94
133,apt,90,FR,1604337719,82,43.88,5.4,62.6,4.7
134,geraldton,75,AU,1604337719,87,-28.77,114.6,57.2,5.82
135,gizo,65,SB,1604337719,72,-8.1,156.84,83.62,3.36
136,menongue,71,AO,1604337720,50,-14.66,17.69,74.39,3.71
137,bani walid,0,LY,1604337720,44,31.76,13.99,68.04,2.57
138,waynesboro,1,US,1604337720,26,38.07,-78.89,51.01,9.17
139,tandalti,44,SD,1604337720,20,13.02,31.87,95.59,10.63
140,saint-philippe,90,RE,1604337444,60,-21.36,55.77,73.4,12.75
141,lobanovo,90,RU,1604337720,79,57.86,56.3,28.4,2.24
142,kutum,3,SD,1604337720,23,14.2,24.67,79.29,15.03
143,georgetown,20,MY,1604337509,88,5.41,100.34,78.8,4.7
144,teshie,75,GH,1604337721,79,5.58,-0.11,84.2,9.17
145,hasaki,75,JP,1604337721,100,35.73,140.83,59.0,5.82
146,coihaique,0,CL,1604337717,59,-45.58,-72.07,62.6,3.36
